('BP063', 'Tapai singkong', 'KZGPI-1990', 57.4, 169, 1.4, 0.3, 40.2, 2.0),  
('BP064', 'Tepung Arrowroot', 'DABM-1964', 13.6, 355, 0.7, 0.2, 85.2, 0.4),  
('BP065', 'Tepung Ganyong', 'BKP', 13.6, 353, 0.8, 1.7, 83.6, 0.7),  
('BP066', 'Tepung Gaplek', 'BKP', 13.0, 345, 2.4, 0.4, 83.1, 6.7),  
('BP067', 'Tepung kentang kering', 'DABM-1964', 13.0, 347, 0.3, 0.1, 85.6, 0.4),  
('BP068', 'Tepung Mocaf', 'BKP', 11.9, 350, 1.2, 0.6, 85.0, 6.0),  
('BP069', 'Tepung Sente', 'BKP', 15.3, 326, 4.0, 0.4, 76.7, 8.5),  
('BP070', 'Tepung singkong/Tapioka', 'DABM-1964', 9.1, 363, 1.1, 0.5, 88.2, 0.9),  
('BP071', 'Tepung Tales Beneng', 'BKP', 12.2, 332, 5.7, 0.6, 76.1, 12.2),  
('BP072', 'Tepung Ubi Ungu', 'BKP', 9.4, 354, 2.8, 0.6, 84.4, 12.9),  
('BP073', 'Tiwul', 'BKP', 11.2, 353, 2.4, 1.1, 83.4, 6.5),  
('BP074', 'Tiwul Instan', 'BKP', 9.1, 395, 3.2, 8.5, 76.5, 4.2),  
('BP075', 'Ubi Cilembu', 'BKP', 52.7, 186, 1.9, 0.2, 44.3, 3.4),  
('BP076', 'Uli batatas', 'KZGMI-2001', 66.5, 150, 1.1, 4.0, 27.4, NULL),
('CR001', 'Kacang arab *kering', 'DABM-1964', 11.6, 330, 23.8, 1.4, 60.2, 17.4),  
('CR002', 'Kacang babi *kering', 'KZGPI-1990', 11.6, 341, 30.4, 3.2, 51.3, 4.5),  
('CR003', 'Kacang belimbing (kecipir) *kering', 'KZGPI-1990', 10.4, 400, 34.4, 16.9, 34.1, 10.7),  
('CR004', 'Kacang beracun *segar', 'KZGMI-2001', 72.1, 118, 4.4, 1.5, 21.6, NULL),  
